# Michael Loizias Analytics CSV Export
# Start Date: 1 Nov 2025
# End Date: 5 Feb 2026


Date,Social account,Social network,Post link,Post text,Post type,Reach,Reach rate (%),Video views,Reactions,Comments,Shares,Engagement rate (%),Action
2025-12-24 09:01,Michael Loizias,Linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7409518572781318144,"Over the past few days, The Loizias Foundation has made a small charitable donation to Watford General Hospital, providing gift bags for nurses across three adult wards and one children’s ward, alongside toys for every child on the children’s ward at Xmas (from personal experience, spending Xmas in a hospital ward sucks... so hopefully provides a little cheer).

This is not the core mission of the Foundation. Our long term focus is on funding medical research, education, and building a sustainable research fund for the future.

But sometimes you do things simply because it feels right.

Hospitals can be an incredibly tough environment for patients, families, and especially for the nurses and frontline staff who turn up every day, often under pressure, under resourced, and without much recognition. A small gesture does not change that reality, but it can acknowledge it.

If nothing else, I hope it put a few smiles on faces during a difficult time of year and reminded people that their work does not go unnoticed.

A sincere thank you to the teams at Watford General, and to everyone working on hospital wards across the country.

Sometimes the right thing is not strategic. It is just human.

We Keep Moving Forward!

Milestone Group StoneRise Technology AYM Services Nomos Group ",Photo,1851,57.77,-,112,11,1,6.7,-
2025-12-09 09:41,Michael Loizias,Linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7404092753351032832,"Really pleased to share the news that StoneRise will be opening our new head office in London this January.

On a personal level, this feels like more than just an office move, I am genuinely looking forward to being back in the city again. Taking the tube into work, grabbing food from the stalls around Kings Cross, sitting down with clients face to face and finishing the day with a few drinks as a team. It is the part of work I have missed the most.

Having a permanent home for StoneRise brings a new energy. It gives us a place to collaborate properly, bring people together and make real progress as we push toward launch. It feels like the start of the next chapter for the business and for us as a team.

Excited for what is coming in the new year.

Learn more about StoneRise:
https://www.stonerise.tech?utm_source=linkedin_michael&utm_medium=organic_social&utm_campaign=weekly_post_general&utm_content=20251209_post1

👉 Follow StoneRise Technology to stay updated as we continue building.",Link,932,30.16,-,54,4,0,6.22,-
2026-01-06 09:00,Michael Loizias,Linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7414229378651471872,"After an incredible journey, I have decided to step down as Managing Director of Milestone Group.

Milestone Group has been a huge part of my life for almost 15 years. 

It began in 2011 and has grown into a business I am genuinely proud of, delivering important work for communities across the South of England. I am grateful to every person who has contributed to that success.

However, the last 12 months has changed a lot for me. Following my diagnosis with PSC & the steady progress the disease is making towards liver failure and then being days away from death due to Crohn's, I have had to be honest with myself and what i want to do with the rest of my life. My passion has shifted. The drive that once fuelled me every day at Milestone, that allowed us to be one of the fastest growing contractors in the South of England, is now pulling me in a different direction.

I will still remain involved at a strategic level as a major shareholder, moving into a board position to support Milestone’s continued growth and provide strategic oversight. The day to day leadership will now sit with others who are ready to push the business forward. Lewis Collins (MCIOB) and Eddie Doherty will now take on the roles of Regional Managing Directors. I have complete confidence in them having worked closely with them both for years. To support Eddie and Lewis, Stelios Ioannou will transition into the role of Executive Chairman of Milestone alongside his position as CEO of StoneRise Technology. 

My full time focus will now be shared between StoneRise and The Loizias Foundation.

At StoneRise, I will focus on driving our product vision as Chief Product Officer and Software Architect. We are building technology that can genuinely transform how our industry works and I believe the opportunity ahead of us is huge.

The Loizias Foundation as you can probably appreciate is deeply personal. Living with PSC and Crohn’s has given me a very real understanding of what people go through. I want to contribute to real progress in treatments and ultimately a cure, the fact that in the 21st century there are conditions that have no cure or plausible treatment is mind blowing. That will be a major focus for me in the years ahead as we aim to hit our ambitious goals.

This is a big change, but the right one for myself. I am excited for the future and incredibly thankful for the journey so far. The story continues, just in a new direction.",Photo,5643,171.47,-,275,42,1,5.64,-
2025-12-02 09:00,Michael Loizias,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7401545721088221184,"𝗧𝗵𝗶𝘀 𝘄𝗲𝗲𝗸 𝗶𝘀 𝗖𝗿𝗼𝗵𝗻’𝘀 & 𝗖𝗼𝗹𝗶𝘁𝗶𝘀 𝗔𝘄𝗮𝗿𝗲𝗻𝗲𝘀𝘀 𝗪𝗲𝗲𝗸.

More than 2 in 5 people with IBD have had to make adjustments to their working life. I learned this first-hand in 2018–2019, when Crohn’s made it impossible for me to get to site or the office by public transport. I had to step away from a project I loved, simply because my body wouldn’t allow it at the time.

IBD doesn’t just affect health, it affects careers, routines and the day-to-day things people usually take for granted.

A bit of understanding and flexibility goes a long way.",Photo,326,10.83,-,15,0,0,4.6,-
2026-01-13 09:00,Michael Loizias,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7416766117639254016,"For the first time in my professional career, I will be using my real surname. 𝗟𝗼𝗶𝘇𝗶𝗮𝘀

When I started out 15 years ago, I was advised to anglicanise my name. As the grandchild of immigrants, I was told a foreign sounding surname could make things harder, particularly in construction. I accepted it and used my middle name instead. Not out of shame, but to avoid unnecessary barriers.

And over the years, I understood why that advice was given.

I remember a pre contract meeting with a senior client from a local authority in South West London. Sitting with my two business partners, both using their real Cypriot surnames, the comment was made: “at least one of you isn’t foreign”.

I was not angered by it. I never took a victim mentality and I never let it hold me back. I simply focused on my work and let results do the talking.

Today, I have one foot in construction and the other in technology. Both industries are evolving, and so am I.

I am proud of my heritage and the name my family built. So from now on, across every part of my career and public life, I will be using my real name.

𝗠𝗶𝗰𝗵𝗮𝗲𝗹 𝗟𝗼𝗶𝘇𝗶𝗮𝘀

This is not a statement. It is just me being myself.

The Loizias Foundation StoneRise Technology Milestone Group AYM Services ",Status,3307,100.49,-,122,13,0,4.08,-
2025-12-03 09:00,Michael Loizias,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7401908108656156672,"1 in 5 people with Crohn’s or Colitis are unable to work because of their health. When you live with IBD, that statistic feels very real.

I’ve been fortunate to keep working through my own journey with Crohn’s, but there have been times where it could have gone the other way. The pain, fatigue and unpredictability of flare-ups can make even basic daily tasks difficult, let alone getting through a full working day.

It’s a reminder that many people are dealing with challenges you don’t always see and a bit of understanding makes a huge difference.",Photo,356,11.82,-,12,1,0,3.65,-
2026-01-12 10:00,Michael Loizias,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7416418894380417024,"We’ve just released the first live module of the StoneRise ERP platform: Procurement.

Before we scale this more widely, we’re opening up access to a small number of UK construction companies to use it in a real-world environment and help shape how it evolves.

What early adopters get:
• 6 months of unlimited free access
• Direct input into feature development and roadmap
• Hands-on support from the founding team
• Early access to future modules as they’re released

This is aimed at contractors who are actively managing procurement today and want better visibility, control, and less admin.

We only have a couple of spaces left.

If you’re interested, comment below or drop me a message and I’ll share details.",Photo,929,28.23,-,29,0,0,3.12,-
2025-12-04 09:01,Michael Loizias,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7402270690760093696,"44% of people with Crohn’s or Colitis feel their condition has held them back at work.

I understand that feeling, Crohn’s has forced me to slow down or change direction at times, especially during flare-ups.

But I’ve also learned that being held back isn’t the same as being stopped. You adapt, you find new ways of working, and you keep going. Many people with IBD are balancing careers, families and responsibilities while managing symptoms most people never see.

Awareness isn’t about sympathy — it’s about understanding the reality behind these conditions and supporting people so they can reach their full potential.",Photo,393,13.05,-,12,0,0,3.05,-
2025-11-04 10:02,Michael Loizias,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7391414452773998593,"Financial control is one of those areas that every construction business struggles with, no matter the size.

Having worked across both multiple construction companies as a main contract and sub-contractor, I see the same issues play out time and again ... late commitments, fragmented data, manual reconciliations and a lack of visibility that leaves teams constantly reacting instead of staying ahead.

What I like about this piece is that it doesn’t just describe the problems, it focuses on the practical steps companies can take to make progress. Real improvements don’t come from massive overhauls, but from simple, disciplined changes that give earlier insight and better control.

It’s a good read for anyone responsible for commercial or financial management in construction.

👉 5 barriers holding back financial control in construction projects by StoneRise Technology.

#Construction #CommercialManagement #FinancialControl #StoneRise #BuiltByConstruction4Construction #StoneRise #ChallengingTheStatusQuo ",Link,419,15.07,-,11,0,0,2.63,-
2025-12-10 09:00,Michael Loizias,Linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7404444859064856576,"HR admin in construction should be simple, but it rarely is.

Most businesses still rely on a mix of emails, folders, spreadsheets and guesswork to manage training, documents, expenses and leave. The part that causes the most problems is always the same: keeping on top of training and compliance.

Everyone knows the stress of chasing cards, expiry dates and certificates. It is messy, time consuming and far too easy for something important to slip through the cracks.

That is why the StoneRise Technology HR module puts training management front and centre. One dashboard, clear expiry alerts, stored certificates, and a proper view of compliance across the whole team. No chasing, no surprises.

This is something the industry has needed for a long time and we are excited to bring it forward.

If training has been a headache in your business, I would be interested to hear what causes the biggest issues.

Learn more about what we're building:
https://www.stonerise.tech?utm_source=linkedin_michael&utm_medium=organic_social&utm_campaign=mobile_expenses_hr&utm_content=20251210_post1

👉 Follow StoneRise Technology to see more of what we are building.

#BuiltByConstruction4Construction #StoneRise #ChallengingTheStatusQuo ",Photo,726,23.39,-,15,0,0,2.07,-
