# StoneRise Technology Analytics CSV Export
# Start Date: 1 Aug 2025
# End Date: 5 Feb 2026


Date,Social account,Social network,Post link,Post text,Post type,Reach,Reach rate (%),Video views,Reactions,Comments,Shares,Engagement rate (%),Action
2025-12-09 09:39,StoneRise Technology,Linkedin,https://www.linkedin.com/feed/update/urn:li:ugcPost:7404092225472851968,"We are pleased to announce that StoneRise will be opening our new head office in London on 5 January.

The location, a short walk from Kings Cross, provides the space and environment we need as we continue to grow and move towards the public launch of our products in 2026. Bringing the team together in one dedicated home is an important milestone in our journey and reflects the progress we have made over the past year.

This new space will support our work across product development, client engagement and industry collaboration as we continue building a platform designed for the realities of the construction sector.

We look forward to welcoming partners, clients and friends of the business once we are fully settled in.

Learn more about StoneRise: https://www.stonerise.tech?utm_source=linkedin_company&utm_medium=organic_social&utm_campaign=weekly_post_general&utm_content=20251209_post1

👉 Follow 𝗦𝘁𝗼𝗻𝗲𝗥𝗶𝘀𝗲 for more updates as we continue to grow in 2026 and beyond.

#BuiltByConstruction4Construction #StoneRise #ChallengingTheStatusQuo ",Photo,193,88.13,-,12,3,1,64.25,-
2025-09-23 10:22,StoneRise Technology,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7376184223281422336,"Our vision is simple: one connected platform built for construction that brings procurement, commercial, financial, operational and health and safety management into a single place.

By replacing spreadsheets, paperwork and disconnected tools with joined-up workflows, we give project teams clarity, speed and confidence in the way they deliver.

Learn more about our platform:
https://www.stonerise.tech?utm_source=linkedin_company&utm_medium=organic_social&utm_campaign=connected_systems_general&utm_content=20250923_post1

👉 Follow StoneRise to see how we are reshaping construction software.

#BuiltByConstruction4Construction #StoneRise #ChallengingTheStatusQuo ",Photo,209,126.67,-,11,0,0,37.32,-
2025-08-26 09:30,StoneRise Technology,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7366024281966698503,"𝗪𝗲’𝗿𝗲 𝘁𝗵𝗿𝗶𝗹𝗹𝗲𝗱 𝘁𝗼 𝗶𝗻𝘁𝗿𝗼𝗱𝘂𝗰𝗲 𝗦𝘁𝗼𝗻𝗲𝗥𝗶𝘀𝗲.

StoneRise emerged from a challenge every construction leader faces. Managing a single business required juggling nine different SaaS products, along with countless spreadsheets and paper forms. Systems didn’t communicate, data was duplicated, and clarity was lost.

Within founders who have hands-on experience in running large-scale construction companies, we understand the struggle of managing projects, costs, and compliance with fragmented, outdated tools.

That’s why we built StoneRise, a modern SaaS platform tailored specifically for the construction industry. Our goal is straightforward: create one integrated space for managing procurement, commercial and financial operations, and health and safety. A platform that’s intuitive, transparent, and interconnected from the start.

Our first product launches in January, with more on the horizon.

Learn more about our vision:
https://www.stonerise.tech?utm_source=linkedin_company&utm_medium=organic_social&utm_campaign=origin_story_general&utm_content=20250826_post1

👉 Follow StoneRise on LinkedIn to stay updated as we transform construction management.

#ConstructionTech #SaaS #Procurement #CommercialManagement #BuiltForConstruction #StoneRise #BuiltByConstruction4Construction #StoneRise #ChallengingTheStatusQuo ",Status,147,144.12,-,8,0,3,17.01,-
2025-09-02 09:30,StoneRise Technology,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7368561064835334144,"𝗧𝗵𝗲 𝗵𝗶𝗱𝗱𝗲𝗻 𝗰𝗼𝘀𝘁 𝗼𝗳 𝘀𝗽𝗿𝗲𝗮𝗱𝘀𝗵𝗲𝗲𝘁 𝗰𝗵𝗮𝗼𝘀

Spreadsheets are still the backbone of project management in construction. They are familiar, cheap and easy to set up. But behind the convenience lies a cost that most teams underestimate.

From our conversations with more than 80 professionals across the industry, the same issues kept coming up. Hours lost checking and re-checking formulas. Different versions circulating between offices and sites. Data copied from one sheet to another, only for small errors to snowball into costly mistakes.

The operational impact is huge. Site teams spend time chasing the “latest” file. Commercial managers patch together information to produce valuations and forecasts. Finance only sees a partial picture, often weeks after commitments have been made. The result is delays, rework and decisions made on unreliable numbers.

The financial impact is even greater. Missed approvals, inaccurate reporting and duplicated effort directly affect cashflow and increase risk. On large projects, even a small error buried in a spreadsheet can mean tens of thousands of pounds lost.

Yet spreadsheets persist because there has been no simple alternative. They remain the default tool even though they no longer fit the complexity of modern projects.

The takeaway is clear: the hidden cost of spreadsheets is time, money and confidence.

See how StoneRise replaces spreadsheet chaos:
https://www.stonerise.tech/request-demo?utm_source=linkedin_company&utm_medium=organic_social&utm_campaign=connected_systems_general&utm_content=20250902_post1

👉 Follow StoneRise as we continue to explore the problems holding construction back and share how the industry can move forward.

#BuiltByConstruction4Construction #StoneRise #ChallengingTheStatusQuo ",Status,120,101.69,-,5,0,1,15.0,-
2025-10-28 10:00,StoneRise Technology,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7388877273677848576,"Construction projects rarely come in on budget. Recent industry insights show that, on average, 85% of projects overspend by between an average of 15-28 %. This is largely due to poor visibility over costs, commitments, and changes.

When teams lack a clear view of what has been approved, what’s in flight, and what’s already paid, errors, rework, and disputes follow—creating unnecessary cost and delay.

The takeaway is simple: without visibility, control slips away.

See how StoneRise delivers real-time project cost visibility:
https://www.stonerise.tech/request-demo?utm_source=linkedin_company&utm_medium=organic_social&utm_campaign=cash_flow_general&utm_content=20251028_post1

👉 Follow StoneRise for more insights into the challenges holding construction back and how the industry can move forward with clarity and connection.

#BuiltByConstruction4Construction #StoneRise #ChallengingTheStatusQuo ",Photo,250,132.28,-,7,0,0,13.2,-
2025-11-04 10:00,StoneRise Technology,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7391413968843730944,"𝟱 𝗯𝗮𝗿𝗿𝗶𝗲𝗿𝘀 𝗵𝗼𝗹𝗱𝗶𝗻𝗴 𝗯𝗮𝗰𝗸 𝗳𝗶𝗻𝗮𝗻𝗰𝗶𝗮𝗹 𝗰𝗼𝗻𝘁𝗿𝗼𝗹 𝗶𝗻 𝗰𝗼𝗻𝘀𝘁𝗿𝘂𝗰𝘁𝗶𝗼𝗻 𝗽𝗿𝗼𝗷𝗲𝗰𝘁𝘀

Financial control is one of the hardest challenges in construction. Projects are complex, supply chains are fragmented, and decisions are often made under pressure. For many businesses, the result is a constant battle to keep costs visible, cash predictable and risks under control.

Through our work in the industry and conversations with clients, contractors and subcontractors, we see the same barriers again and again.

1. Late commitments

Too often, financial teams only see commitments after they’ve already been made on site. By the time invoices arrive, cash is already tied up and budgets have shifted. The fix is early visibility: ensure commitments are logged at the point of requisition or order, not weeks later.

2. Fragmented data

Commercial managers, QSs and site teams are each working in their own tools, with little connection between them. This fragmentation means data has to be re-entered or reconciled manually. The fix is consolidation: wherever possible, capture information once and make it visible to all stakeholders.

3. Manual reconciliations

Reconciling invoices against orders, payments and variations is still largely a manual process in many companies. It consumes valuable time and introduces risk. The fix is to standardise workflows and reduce duplication, a single approvals log or clear coding system can make a major difference.

4. Lack of audit trail

When disputes arise, it’s often impossible to show a clear trail of who approved what and when. This creates delays, mistrust and in some cases, legal exposure. The fix is discipline: insist that every approval, variation and certification is recorded in a way that can be retrieved later.

5. Culture and habits

Perhaps the hardest barrier is cultural. Many teams default to spreadsheets and emails because “that’s how we’ve always done it.” Breaking this habit requires leadership that values simplicity, consistency and visibility across the business. The fix is to start small: focus on one or two processes, prove the benefit, and build momentum from there.

Moving forward

Financial control will always be a challenge in construction, but these barriers are not immovable. By addressing commitments earlier, consolidating data, reducing manual reconciliations, enforcing audit trails and challenging entrenched habits, businesses can build the confidence and clarity they need.

For SMEs especially, the key is not to overhaul everything at once but to take pragmatic steps that make life easier for commercial teams, site managers and finance alike.

See how StoneRise helps: https://www.stonerise.tech/request-demo?utm_source=linkedin_company&utm_medium=organic_social&utm_campaign=weekly_post_general&utm_content=20251104_post1

👉 Follow StoneRise for more insights on the challenges holding construction back and practical ways forward.

#ChallengingTheStatusQuo ",Photo,203,106.28,-,7,0,1,11.82,-
2025-09-09 09:30,StoneRise Technology,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7371097686676086784,"𝗪𝗵𝗮𝘁’𝘀 𝘁𝗵𝗲 𝗺𝗼𝘀𝘁 𝗳𝗿𝘂𝘀𝘁𝗿𝗮𝘁𝗶𝗻𝗴 𝗽𝗮𝗿𝘁 𝗼𝗳 𝗺𝗮𝗻𝗮𝗴𝗶𝗻𝗴 𝗽𝗿𝗼𝗷𝗲𝗰𝘁𝘀 𝗼𝗻 𝘀𝗽𝗿𝗲𝗮𝗱𝘀𝗵𝗲𝗲𝘁𝘀?

Spreadsheets are still at the heart of project management in construction. They feel simple, familiar and quick to set up, which is why almost every team still relies on them. But behind the familiarity are the same frustrations we hear about time and again.

One of the biggest issues is version control. Different teams update different copies and before long nobody is sure which file is the latest. Approvals create another headache, with information scattered across multiple sheets and no clear trail of who has signed off what. Reporting is slow and often unreliable because the data doesn’t line up. And then there’s the time wasted on repetitive data entry, copying the same information from one place to another just to keep things moving.

So we want to hear from you. What’s the most frustrating part of managing your projects on spreadsheets?

🔹 Version control
🔹 Approvals
🔹 Reporting
🔹 Data entry

See how StoneRise solves spreadsheet chaos:
https://www.stonerise.tech/request-demo?utm_source=linkedin_company&utm_medium=organic_social&utm_campaign=connected_systems_general&utm_content=20250909_post1

👉 Share your thoughts in the comments and follow StoneRise Technology for more industry insights.

#BuiltByConstruction4Construction #StoneRise #ChallengingTheStatusQuo ",Status,112,85.5,-,3,0,1,10.71,-
2025-09-30 10:00,StoneRise Technology,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7378715441092902912,"𝗧𝗵𝗲 𝗿𝗶𝘀𝗸𝘀 𝗼𝗳 𝗽𝗼𝗼𝗿 𝗽𝗮𝘆𝗺𝗲𝗻𝘁 𝘁𝗿𝗮𝗰𝗸𝗶𝗻𝗴 𝗮𝗻𝗱 𝘃𝗶𝘀𝗶𝗯𝗶𝗹𝗶𝘁𝘆 𝗶𝗻 𝗰𝗼𝗻𝘀𝘁𝗿𝘂𝗰𝘁𝗶𝗼𝗻

Few issues create as much tension in construction as payments. When tracking is inconsistent and visibility is limited, the effects are felt across every part of a project.

Disputes are one of the most obvious outcomes. If there is no clear record of what has been applied for, assessed or certified, it is almost inevitable that misunderstandings will occur. Cash stress follows quickly. Subcontractors wait longer to be paid, main contractors spend time firefighting queries, and clients are left unsure of their actual commitments. Decision-making is also slowed down, as managers work with partial or outdated information.

We heard this repeatedly when speaking with industry professionals: the process is too often fragmented, unclear and reactive.

What good looks like is straightforward:

🔹One clear record of what has been applied for, assessed and paid
🔹Real-time visibility for all parties involved
🔹Confidence in the numbers so decisions can be made without delay

Without these basics, projects carry unnecessary financial risk.

See how StoneRise delivers payment visibility:
https://www.stonerise.tech/request-demo?utm_source=linkedin_company&utm_medium=organic_social&utm_campaign=cash_flow_general&utm_content=20250930_post1

👉 Follow StoneRise as we continue to explore the challenges holding construction back and highlight how the industry can move forward.

#BuiltByConstruction4Construction #StoneRise #ChallengingTheStatusQuo ",Status,96,54.86,-,2,0,1,7.29,-
2025-09-16 09:30,StoneRise Technology,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7373634389005746176,"𝗪𝗵𝘆 𝗴𝗲𝗻𝗲𝗿𝗶𝗰 𝘀𝗼𝗳𝘁𝘄𝗮𝗿𝗲 𝗱𝗼𝗲𝘀𝗻’𝘁 𝗳𝗶𝘁 𝗰𝗼𝗻𝘀𝘁𝗿𝘂𝗰𝘁𝗶𝗼𝗻

Across the industry we see the same pattern. Companies adopt a generic platform in the hope it will bring order to projects, only to find themselves bending processes to suit a system that was never designed for them.

Construction has domain-specific workflows that generic tools simply don’t understand. Variations and valuations are a good example. Most finance systems cannot cope with the way these are managed, yet they are central to commercial control. Approvals are another. Decisions in construction often pass through site teams, commercial managers and directors, but many off-the-shelf tools only offer a simple one-step approval chain.

Terminology also matters. Site diaries, payment applications, certs, off-hires and defects mean something precise in our industry. Generic systems rarely reflect this language, forcing teams to work with labels that don’t match what they do day to day.

The result is duplication, confusion and frustration. Instead of supporting delivery, the software creates more admin and leaves critical commercial risks unmanaged.

We’re curious to hear your experience. Have you had to make generic systems work for construction, and what challenges did you face?

See how StoneRise is built specifically for construction:
https://www.stonerise.tech/request-demo?utm_source=linkedin_company&utm_medium=organic_social&utm_campaign=origin_story_general&utm_content=20250916_post1

👉 Follow StoneRise Technology as we continue to explore the problems holding construction back.

#BuiltByConstruction4Construction #StoneRise #ChallengingTheStatusQuo ",Status,158,109.72,-,4,0,1,6.96,-
2025-10-21 10:00,StoneRise Technology,Linkedin,https://www.linkedin.com/feed/update/urn:li:share:7386325592620630016,"Every industry has its own way of working. Construction is no different, and software should reflect that reality.

At StoneRise we set out our design principles from day one to make sure we never lose sight of what matters most:

Simplicity. Everyday tasks should be quick and intuitive, reducing clicks and cutting out duplication.

Transparency. Everyone involved in a project should see the same information, with a clear audit trail of what was approved and when.

Integration. Procurement, commercial and financial decisions should flow together, not sit in silos. Data entered once should carry through the whole process.

Built for construction. The terminology, workflows and outputs must reflect how projects are actually delivered, not how another industry works.

These are the principles shaping everything we build.

See these principles in action:
https://www.stonerise.tech/request-demo?utm_source=linkedin_company&utm_medium=organic_social&utm_campaign=ux_focus_general&utm_content=20251021_post1

👉 Follow StoneRise to see how they come to life.

#BuiltByConstruction4Construction #StoneRise #ChallengingTheStatusQuo ",Status,187,98.94,-,6,0,0,6.42,-
